feature,split_score,gain_score
hist_city_id_auth_mean_min,2.5,22.0
hist_city_id_auth_mean_max,9.0,100.0
hist_city_id_auth_mean_sum,96.0,100.0
hist_city_id_auth_mean_mean,2.5,99.5
hist_city_id_auth_mean_median,42.5,100.0
hist_city_id_auth_mean_std,87.0,100.0
hist_city_id_auth_sum_min,1.5,100.0
hist_city_id_auth_sum_max,4.5,41.0
hist_city_id_auth_sum_sum,96.5,100.0
hist_city_id_auth_sum_mean,8.5,100.0
hist_city_id_auth_sum_median,8.5,100.0
hist_city_id_auth_sum_std,32.5,100.0
new_merchant_category_id_auth_mean_min,96.0,100.0
new_merchant_category_id_auth_mean_max,15.0,75.0
new_merchant_category_id_auth_mean_sum,87.0,100.0
new_merchant_category_id_auth_mean_mean,42.0,99.0
new_merchant_category_id_auth_mean_median,55.0,96.5
new_merchant_category_id_auth_mean_std,8.5,100.0
new_merchant_category_id_auth_sum_min,2.0,95.0
new_merchant_category_id_auth_sum_max,30.0,72.5
new_merchant_category_id_auth_sum_sum,5.5,95.5
new_merchant_category_id_auth_sum_mean,3.5,61.0
new_merchant_category_id_auth_sum_median,3.5,94.5
new_merchant_category_id_auth_sum_std,0.0,12.5
new_subsector_id_auth_mean_min,54.5,97.0
new_subsector_id_auth_mean_max,26.0,70.5
new_subsector_id_auth_mean_sum,79.0,100.0
new_subsector_id_auth_mean_mean,0.0,97.5
new_subsector_id_auth_mean_median,3.0,87.5
new_subsector_id_auth_mean_std,0.0,37.5
new_subsector_id_auth_sum_min,0.0,91.0
new_subsector_id_auth_sum_max,46.0,63.0
new_subsector_id_auth_sum_sum,66.0,96.5
new_subsector_id_auth_sum_mean,0.5,99.0
new_subsector_id_auth_sum_median,0.5,88.0
new_subsector_id_auth_sum_std,0.0,21.0
new_merchant_id_auth_mean_min,40.0,100.0
new_merchant_id_auth_mean_max,56.0,100.0
new_merchant_id_auth_mean_sum,85.0,99.5
new_merchant_id_auth_mean_mean,11.0,99.5
new_merchant_id_auth_mean_median,4.5,100.0
new_merchant_id_auth_mean_std,9.0,100.0
new_merchant_id_auth_sum_min,83.0,100.0
new_merchant_id_auth_sum_max,32.5,99.0
new_merchant_id_auth_sum_sum,9.0,94.5
new_merchant_id_auth_sum_mean,79.5,100.0
new_merchant_id_auth_sum_median,2.5,91.0
new_merchant_id_auth_sum_std,4.5,90.5
new_state_id_auth_mean_min,0.5,37.5
new_state_id_auth_mean_max,30.5,90.5
new_state_id_auth_mean_sum,99.5,100.0
new_state_id_auth_mean_mean,0.0,29.0
new_state_id_auth_mean_median,88.0,100.0
new_state_id_auth_mean_std,96.5,100.0
new_state_id_auth_sum_min,3.5,74.0
new_state_id_auth_sum_max,0.0,0.0
new_state_id_auth_sum_sum,0.5,78.0
new_state_id_auth_sum_mean,0.0,95.0
